Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
VA,CHESTERFIELD CO PBLC SCHS,VA,WINTERPOCK ELEM,510084002780,2015,Instructional Aides,59728.00,4.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,WINTERPOCK ELEM,510084002780,2015,School Administration Staff,141225.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,WINTERPOCK ELEM,510084002780,2015,Support Services Staff (for Pupils and for Instructional Staff),224562.00,4.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,WINTERPOCK ELEM,510084002780,2015,Non-Personnel Expenditures,53344.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,WINTERPOCK ELEM,510084002780,2015,Total enrollment,,,4.00,52.00,2.00,58.00,73.00,703.00,43.00,935.00,74.00,4.00,31.00
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Salary Amount for Total Personnel (instructional support services and school administration),2845009.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Salary Amount for Teachers,2396001.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Instructional Aides,88447.00,6.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,School Administration Staff,149044.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Support Services Staff (for Pupils and for Instructional Staff),211517.00,4.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Non-Personnel Expenditures,112328.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,J G HENING ELEM,510084000336,2015,Total enrollment,,,2.00,22.00,2.00,190.00,454.00,166.00,37.00,873.00,110.00,7.00,133.00
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Salary Amount for Total Personnel (instructional support services and school administration),1999968.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Salary Amount for Teachers,1614947.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Instructional Aides,63358.00,5.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,School Administration Staff,141488.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Support Services Staff (for Pupils and for Instructional Staff),180175.00,3.20,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Non-Personnel Expenditures,64704.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BETTIE WEAVER ELEM,510084000762,2015,Total enrollment,,,2.00,19.00,0.00,13.00,7.00,616.00,4.00,661.00,83.00,7.00,10.00
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Salary Amount for Total Personnel (instructional support services and school administration),2748326.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Salary Amount for Teachers,2193785.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Instructional Aides,131144.00,10.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,School Administration Staff,174356.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Support Services Staff (for Pupils and for Instructional Staff),249041.00,3.80,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Non-Personnel Expenditures,43642.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JACOBS ROAD ELEM,510084002098,2015,Total enrollment,,,4.00,25.00,2.00,112.00,268.00,364.00,40.00,815.00,101.00,2.00,85.00
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Salary Amount for Total Personnel (instructional support services and school administration),188251.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Salary Amount for Teachers,188251.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Instructional Aides,0.00,0.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,School Administration Staff,0.00,0.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Support Services Staff (for Pupils and for Instructional Staff),0.00,0.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Non-Personnel Expenditures,0.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ACADEMY 360,510084002983,2015,Total enrollment,,,0.00,2.00,0.00,13.00,13.00,13.00,0.00,41.00,4.00,0.00,4.00
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Salary Amount for Total Personnel (instructional support services and school administration),2615274.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Salary Amount for Teachers,2085154.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Instructional Aides,171235.00,14.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,School Administration Staff,147651.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Support Services Staff (for Pupils and for Instructional Staff),211234.00,3.60,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Non-Personnel Expenditures,116910.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,A M DAVIS ELEM,510084000314,2015,Total enrollment,,,0.00,22.00,0.00,172.00,259.00,196.00,46.00,695.00,128.00,4.00,133.00
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Salary Amount for Total Personnel (instructional support services and school administration),2035775.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Salary Amount for Teachers,1624369.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Instructional Aides,86061.00,7.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,School Administration Staff,149087.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Support Services Staff (for Pupils and for Instructional Staff),176258.00,4.40,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Non-Personnel Expenditures,48564.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,ROBIOUS ELEM,510084000346,2015,Total enrollment,,,0.00,34.00,0.00,31.00,43.00,517.00,31.00,656.00,98.00,4.00,22.00
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Salary Amount for Total Personnel (instructional support services and school administration),7045872.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Salary Amount for Teachers,6007307.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Instructional Aides,139425.00,12.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,School Administration Staff,436997.00,7.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Support Services Staff (for Pupils and for Instructional Staff),462142.00,10.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Non-Personnel Expenditures,142843.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,JAMES RIVER HIGH,510084000766,2015,Total enrollment,,,4.00,91.00,2.00,343.00,337.00,1216.00,70.00,2063.00,209.00,16.00,235.00
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Salary Amount for Total Personnel (instructional support services and school administration),1825804.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Salary Amount for Teachers,1582221.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Instructional Aides,72737.00,8.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,School Administration Staff,63360.00,1.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Support Services Staff (for Pupils and for Instructional Staff),107486.00,4.20,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Non-Personnel Expenditures,53602.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,BON AIR ELEM,510084000318,2015,Total enrollment,,,0.00,22.00,0.00,130.00,46.00,403.00,25.00,626.00,71.00,7.00,133.00
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Salary Amount for Total Personnel (instructional support services and school administration),1931145.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Salary Amount for Teachers,1655774.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Instructional Aides,125645.00,11.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,School Administration Staff,94628.00,2.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Support Services Staff (for Pupils and for Instructional Staff),55098.00,3.00,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Non-Personnel Expenditures,40002.00,,,,,,,,,,,,
VA,CHESTERFIELD CO PBLC SCHS,VA,REAMS ROAD ELEM,510084000345,2015,Total enrollment,,,4.00,28.00,0.00,94.00,163.00,247.00,16.00,552.00,98.00,4.00,91.00
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Salary Amount for Total Personnel (instructional support services and school administration),2435315.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Salary Amount for Teachers,1295083.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Instructional Aides,499095.00,6.08,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,School Administration Staff,170583.00,3.00,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Support Services Staff (for Pupils and for Instructional Staff),142871.00,1.01,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Non-Personnel Expenditures,41913.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,BOYCE ELEM,510087000352,2015,Total enrollment,,,0.00,4.00,0.00,31.00,13.00,229.00,31.00,308.00,47.00,10.00,13.00
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Salary Amount for Total Personnel (instructional support services and school administration),1318624.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Salary Amount for Teachers,2861062.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Instructional Aides,725537.00,19.69,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,School Administration Staff,329576.00,19.69,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Support Services Staff (for Pupils and for Instructional Staff),263510.00,4.43,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Non-Personnel Expenditures,483725.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,CLARKE COUNTY HIGH,510087002100,2015,Total enrollment,,,4.00,13.00,0.00,49.00,25.00,595.00,37.00,723.00,77.00,16.00,4.00
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Salary Amount for Total Personnel (instructional support services and school administration),963174.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Salary Amount for Teachers,2596642.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Instructional Aides,713357.00,25.22,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,School Administration Staff,24157.00,4.89,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Support Services Staff (for Pupils and for Instructional Staff),228659.00,10.09,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Non-Personnel Expenditures,78676.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,D G COOLEY ELEM,510087000354,2015,Total enrollment,,,0.00,4.00,0.00,43.00,16.00,448.00,43.00,554.00,65.00,16.00,22.00
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Salary Amount for Total Personnel (instructional support services and school administration),1360235.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Salary Amount for Teachers,1537394.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Instructional Aides,497324.00,13.16,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,School Administration Staff,223118.00,400.00,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Support Services Staff (for Pupils and for Instructional Staff),160482.00,3.80,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Non-Personnel Expenditures,60859.00,,,,,,,,,,,,
VA,CLARKE CO PBLC SCHS,VA,JOHNSON-WILLIAMS MIDDLE,510087000353,2015,Total enrollment,,,0.00,7.00,0.00,49.00,13.00,337.00,34.00,440.00,53.00,10.00,7.00
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Salary Amount for Total Personnel (instructional support services and school administration),4482400.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Salary Amount for Teachers,3245636.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Instructional Aides,486366.00,15.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,School Administration Staff,481869.00,6.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Support Services Staff (for Pupils and for Instructional Staff),268527.00,4.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Non-Personnel Expenditures,126064.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEES CORNER ELEM,510126002063,2015,Total enrollment,,,2.00,253.00,2.00,82.00,31.00,337.00,52.00,759.00,86.00,19.00,148.00
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Salary Amount for Total Personnel (instructional support services and school administration),4593515.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Salary Amount for Teachers,3380175.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Instructional Aides,373833.00,14.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,School Administration Staff,589193.00,8.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Support Services Staff (for Pupils and for Instructional Staff),250314.00,3.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Non-Personnel Expenditures,70757.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,PINE SPRING ELEM,510126000556,2015,Total enrollment,,,4.00,100.00,0.00,346.00,25.00,106.00,22.00,603.00,95.00,4.00,280.00
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Salary Amount for Total Personnel (instructional support services and school administration),3999673.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Salary Amount for Teachers,2776982.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Instructional Aides,372912.00,13.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,School Administration Staff,530456.00,7.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Support Services Staff (for Pupils and for Instructional Staff),319323.00,5.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Non-Personnel Expenditures,104461.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CAMELOT ELEM,510126000439,2015,Total enrollment,,,2.00,127.00,2.00,181.00,58.00,223.00,37.00,630.00,89.00,4.00,178.00
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Salary Amount for Total Personnel (instructional support services and school administration),6118135.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Salary Amount for Teachers,4337784.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Instructional Aides,247474.00,8.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,School Administration Staff,803724.00,9.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Support Services Staff (for Pupils and for Instructional Staff),729152.00,13.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Non-Personnel Expenditures,376596.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,HOLMES MIDDLE,510126000500,2015,Total enrollment,,,4.00,178.00,4.00,367.00,193.00,196.00,28.00,970.00,185.00,7.00,241.00
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Salary Amount for Total Personnel (instructional support services and school administration),18800668.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Salary Amount for Teachers,13969089.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Instructional Aides,536459.00,17.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,School Administration Staff,2103449.00,26.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Support Services Staff (for Pupils and for Instructional Staff),2191669.00,36.67,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Non-Personnel Expenditures,715986.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,CHANTILLY HIGH,510126000059,2015,Total enrollment,,,4.00,820.00,2.00,376.00,187.00,1195.00,112.00,2696.00,431.00,112.00,157.00
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Salary Amount for Total Personnel (instructional support services and school administration),3531199.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Salary Amount for Teachers,3092089.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Instructional Aides,0.00,0.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,School Administration Staff,0.00,0.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Support Services Staff (for Pupils and for Instructional Staff),439110.00,5.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Non-Personnel Expenditures,99118.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,TRANSITIONAL ESOL CTR,510126001905,2015,Total enrollment,,,0.00,37.00,0.00,409.00,13.00,25.00,0.00,484.00,<=2,0.00,487.00
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Salary Amount for Total Personnel (instructional support services and school administration),12280361.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Salary Amount for Teachers,9190285.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Instructional Aides,251504.00,9.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,School Administration Staff,1439810.00,16.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Support Services Staff (for Pupils and for Instructional Staff),1398761.00,23.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Non-Personnel Expenditures,629107.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEE HIGH,510126000521,2015,Total enrollment,,,7.00,421.00,0.00,706.00,244.00,328.00,58.00,1764.00,254.00,13.00,391.00
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Salary Amount for Total Personnel (instructional support services and school administration),3123632.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Salary Amount for Teachers,2312903.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Instructional Aides,264937.00,9.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,School Administration Staff,397223.00,6.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Support Services Staff (for Pupils and for Instructional Staff),148568.00,2.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Non-Personnel Expenditures,79158.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,LEMON ROAD ELEM,510126000522,2015,Total enrollment,,,0.00,157.00,0.00,136.00,25.00,202.00,46.00,566.00,56.00,4.00,130.00
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Salary Amount for Total Personnel (instructional support services and school administration),4970766.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Salary Amount for Teachers,3656245.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Instructional Aides,378665.00,13.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,School Administration Staff,636361.00,9.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Support Services Staff (for Pupils and for Instructional Staff),299493.00,5.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Non-Personnel Expenditures,118005.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,BULL RUN ELEM,510126001904,2015,Total enrollment,,,2.00,256.00,2.00,196.00,79.00,289.00,40.00,864.00,89.00,13.00,193.00
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Salary Amount for Total Personnel (instructional support services and school administration),3036361.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Salary Amount for Teachers,2172804.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Instructional Aides,278431.00,10.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,School Administration Staff,414215.00,5.50,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Support Services Staff (for Pupils and for Instructional Staff),170909.00,3.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Non-Personnel Expenditures,47952.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,STENWOOD ELEM,510126000569,2015,Total enrollment,,,0.00,124.00,0.00,43.00,22.00,283.00,34.00,506.00,71.00,0.00,70.00
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Salary Amount for Total Personnel (instructional support services and school administration),3412960.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Salary Amount for Teachers,1701753.00,,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Instructional Aides,0.00,0.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,School Administration Staff,442550.00,5.00,,,,,,,,,,,
VA,FAIRFAX CO PBLC SCHS,VA,KEY CENTER,510126000510,2015,Support Services Staff (for Pupils and for Instructional Staff),1268656.00,39.00,,,,,,,,,,,
